1.1116 	WARNING 	pyo audio lib was requested but not loaded: dlopen(/Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so, 2): Library not loaded: @executable_path/../Frameworks/liblo.7.dylib
  Referenced from: /Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so
  Reason: Incompatible library version: _pyo.so requires version 10.0.0 or later, but liblo.7.dylib provides version 9.0.0
3.2402 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10fd62170>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.2402 	EXP 	window1: recordFrameIntervals = False
3.4064 	EXP 	window1: recordFrameIntervals = True
3.5887 	EXP 	window1: recordFrameIntervals = False
3.6410 	EXP 	Created text_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_instruction', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.6454 	EXP 	Created text_task = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_task', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.6499 	EXP 	Created text_variables_task = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_variables_task', opacity=1.0, ori=0, pos=array([ 2.,  2.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.6676 	EXP 	Created text_scanner = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_scanner', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"Waiting for scanner...\n(Press 'a')", units=u'norm', win=Window(...), wrapWidth=1)
3.6718 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
3.6745 	EXP 	Created stim_image_1 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim_image_1', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
3.6852 	EXP 	Created text_7 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_7', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Only the picture...', units=u'norm', win=Window(...), wrapWidth=1)
3.6945 	EXP 	Created text_breath = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_breath', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'*** Waiting for breath ... ***', units=u'norm', win=Window(...), wrapWidth=1)
3.6969 	EXP 	Created stim_image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim_image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
3.7060 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Triggering odor for 5 seconds ...', units=u'norm', win=Window(...), wrapWidth=1)
3.7082 	EXP 	Created stim_image_3 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim_image_3', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
3.7147 	EXP 	Created text_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_6', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Please answer!', units=u'norm', win=Window(...), wrapWidth=1)
3.7264 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Your answer was CORANS!', units=u'norm', win=Window(...), wrapWidth=1)
3.7360 	EXP 	window1: units = 'norm'
3.7700 	EXP 	window1: units = u'norm'
3.7701 	EXP 	Created rating_scale = RatingScale(acceptKeys=['return'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=u'accept?', autoLog=True, choices=False, depth=0, disappear=False, flipVert=False, high=1, kwargs=UNKNOWN, labels=list(...), leftKeys=['left'], lineColor='White', low=0, marker=ShapeStim(...), markerColor='DarkBlue', markerExpansion=UNKNOWN, markerStart=5.0, maxTime=0.0, minTime=0.4, mouseOnly=False, name='rating_scale', noMouse=False, pos=[0.0, -0.4], precision=100, respKeys=['0', '1'], rightKeys=['right'], scale=u'', self=UNKNOWN, showAccept=True, showValue=False, singleClick=False, size=0.6, skipKeys=['tab'], stretch=1.0, textColor='LightGray', textFont='Helvetica Bold', textSize=0.12, tickHeight=1.0, tickMarks=1.0, win=Window(...))
3.7780 	EXP 	Created text_rating = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_rating', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Did you like it?', units=u'norm', win=Window(...), wrapWidth=1)
3.7935 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Closing text goes here.\n\nBye!', units=u'norm', win=Window(...), wrapWidth=1)
3.8403 	EXP 	rating_scale: flipVert = False
3.8403 	EXP 	rating_scale: autoLog = True
3.8403 	EXP 	text_instruction: text = u'Placeholder welcome text.\n\nEnter here basic information about the following task.\nIncluding instructions and how to response.\n\n- Press 1, 2, 3 or 4 to continue -'
3.8403 	EXP 	text_instruction: autoDraw = True
5.2256 	DATA 	Keypress: 1
5.2349 	EXP 	Imported stimuli_data.xlsx as conditions, 16 conditions, 9 params
5.2356 	EXP 	Created sequence: random, trialTypes=16, nReps=1, seed=None
5.2361 	EXP 	New trial (rep=0, index=0): {u'stim_nr': 14, u'odor_channel': 4, u'corrAns_odor': 4, u'corrAns_pic': 2, u'congruent': 0, u'stim_name': None, u'pic_file': u'strawberry.jpg', u'pic_name': u'strawberry', u'odor_name': u'pencil'}
5.4584 	EXP 	text_instruction: autoDraw = False
5.4584 	EXP 	text_task: text = u'Task instruction goes here.\n In the following task you have to ...\n- Press 1, 2, 3 or 4 to continue -'
5.4584 	EXP 	text_variables_task: text = "psychopy.data.TrialHandler(\n\tdata={'ran': masked_array(data =\n [[0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [0.0]\n [1.0]\n [0.0]\n [0.0]],\n             mask =\n [[False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]\n [False]],\n       fill_value = 1e+20)\n, 'order': masked_array(data =\n [[--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [--]\n [0.0]\n [--]\n [--]],\n             mask =\n [[ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [ True]\n [False]\n [ True]\n [ True]],\n       fill_value = 1e+20)\n}\n\tautoLog=True\n\textraInfo=<type 'dict'>\n\tfinished=False\n\tmethod=random\n\tnRemaining=15\n\tnReps=1\n\tnTotal=16\n\tname=trials\n\torigin=None\n\toriginPath=-1\n\tseed=None\n\tsequenceIndices=<type 'numpy.ndarray'>\n\tthisIndex=13\n\tthisN=0\n\tthisRepN=0\n\tthisTrial=<class 'psychopy.data.TrialType'>\n\tthisTrialN=0\n\ttrialList=<type 'list'>\n)THIHI14of 16"
5.4584 	EXP 	text_task: autoDraw = True
5.4584 	EXP 	text_variables_task: autoDraw = True
12.9959 	DATA 	Keypress: 2
13.0118 	EXP 	text_task: autoDraw = False
13.0118 	EXP 	text_variables_task: autoDraw = False
13.0118 	EXP 	text_scanner: autoDraw = True
15.1318 	DATA 	Keypress: 2
15.5806 	DATA 	Keypress: escape
