1.0905 	WARNING 	pyo audio lib was requested but not loaded: dlopen(/Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so, 2): Library not loaded: @executable_path/../Frameworks/liblo.7.dylib
  Referenced from: /Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so
  Reason: Incompatible library version: _pyo.so requires version 10.0.0 or later, but liblo.7.dylib provides version 9.0.0
2.8750 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10f131128>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.8750 	EXP 	window1: recordFrameIntervals = False
3.0406 	EXP 	window1: recordFrameIntervals = True
3.3075 	EXP 	window1: recordFrameIntervals = False
3.3653 	EXP 	Created text_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_instruction', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.3697 	EXP 	Created text_variables_task = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_variables_task', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.3741 	EXP 	Created text_task = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_task', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.3910 	EXP 	Created text_scanner = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_scanner', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u"Waiting for scanner...\n(Press 'a')", units=u'norm', win=Window(...), wrapWidth=1)
3.3947 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
3.3973 	EXP 	Created stim_image_1 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim_image_1', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
3.4139 	EXP 	Created text_7 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_7', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=u'*** Only the picture for 10 seconds ... ***', units=u'norm', win=Window(...), wrapWidth=1)
3.4159 	EXP 	Created stim_image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim_image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
3.4282 	EXP 	Created text_breath = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_breath', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
3.4303 	EXP 	Created stim_image_3 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim_image_3', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
3.4406 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 0.,  0.,  0.]), text=u'*** Triggering odor for 5 seconds ... ***', units=u'norm', win=Window(...), wrapWidth=1)
3.4608 	EXP 	Created text_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_6', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
3.4687 	EXP 	Created text_feedback_1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_feedback_1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Your answer was [  ]!', units=u'norm', win=Window(...), wrapWidth=1)
3.4731 	EXP 	Created text_feedback_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_feedback_2', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.4825 	EXP 	window1: units = 'norm'
3.5273 	EXP 	window1: units = u'norm'
3.5275 	EXP 	Created rating_scale = RatingScale(acceptKeys=['return'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=u'accept?', autoLog=True, choices=False, depth=0, disappear=False, flipVert=False, high=1, kwargs=UNKNOWN, labels=list(...), leftKeys=['left'], lineColor='White', low=0, marker=ShapeStim(...), markerColor='DarkBlue', markerExpansion=UNKNOWN, markerStart=5.0, maxTime=0.0, minTime=0.4, mouseOnly=False, name='rating_scale', noMouse=False, pos=[0.0, -0.4], precision=100, respKeys=['0', '1'], rightKeys=['right'], scale=u'', self=UNKNOWN, showAccept=True, showValue=False, singleClick=False, size=0.6, skipKeys=['tab'], stretch=1.0, textColor='LightGray', textFont='Helvetica Bold', textSize=0.12, tickHeight=1.0, tickMarks=1.0, win=Window(...))
3.5347 	EXP 	Created text_rating = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_rating', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Did you like it?', units=u'norm', win=Window(...), wrapWidth=1)
3.5438 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Closing text goes here.\n\nBye!', units=u'norm', win=Window(...), wrapWidth=1)
3.5821 	EXP 	rating_scale: flipVert = False
3.5821 	EXP 	rating_scale: autoLog = True
3.5821 	EXP 	text_instruction: text = u'Placeholder welcome text.\n\nEnter here basic information about the following task.\nIncluding instructions and how to response.\n\n- Press 1, 2, 3 or 4 to continue -'
3.5821 	EXP 	text_instruction: autoDraw = True
4.3780 	DATA 	Keypress: 3
4.4009 	EXP 	Imported stimuli_data.xlsx as conditions, 16 conditions, 9 params
4.4013 	EXP 	Created sequence: random, trialTypes=16, nReps=1, seed=None
4.4018 	EXP 	New trial (rep=0, index=0): {u'stim_nr': 9, u'odor_channel': 3, u'corrAns_odor': 3, u'corrAns_pic': 1, u'congruent': 0, u'stim_name': None, u'pic_file': u'apple.jpg', u'pic_name': u'apple', u'odor_name': u'wood'}
4.4407 	EXP 	text_instruction: autoDraw = False
4.4407 	EXP 	text_variables_task: text = '*** Stim Nr. 9 of available 16 (randomly chosen) ***'
4.4407 	EXP 	text_task: text = u'Task instruction goes here.\n In the following task you have to ...\n- Press 1, 2, 3 or 4 to continue -'
4.4407 	EXP 	text_variables_task: autoDraw = True
4.4407 	EXP 	text_task: autoDraw = True
4.9278 	DATA 	Keypress: 3
4.9579 	EXP 	text_variables_task: autoDraw = False
4.9579 	EXP 	text_task: autoDraw = False
4.9579 	EXP 	text_scanner: autoDraw = True
5.3603 	DATA 	Keypress: 3
5.8430 	DATA 	Keypress: a
5.8587 	EXP 	text_scanner: autoDraw = False
5.8587 	EXP 	text: autoDraw = True
10.8620 	EXP 	text: autoDraw = False
10.8620 	EXP 	stim_image_1: image = u'apple.jpg'
10.8620 	EXP 	stim_image_1: autoDraw = True
10.8620 	EXP 	text_7: autoDraw = True
20.8691 	EXP 	stim_image_1: autoDraw = False
20.8691 	EXP 	text_7: autoDraw = False
20.8691 	EXP 	stim_image_2: image = u'apple.jpg'
20.8691 	EXP 	stim_image_2: autoDraw = True
20.8691 	EXP 	text_breath: autoDraw = True
22.7205 	DATA 	Keypress: r
23.0700 	DATA 	Keypress: e
23.0838 	EXP 	stim_image_2: autoDraw = False
23.0838 	EXP 	text_breath: autoDraw = False
23.0838 	EXP 	stim_image_3: image = u'apple.jpg'
23.0838 	EXP 	stim_image_3: autoDraw = True
23.0838 	EXP 	text_5: autoDraw = True
28.0863 	EXP 	stim_image_3: autoDraw = False
28.0863 	EXP 	text_5: autoDraw = False
28.0863 	EXP 	text_6: autoDraw = True
28.9383 	DATA 	Keypress: 4
28.9529 	EXP 	text_6: autoDraw = False
28.9529 	EXP 	text_feedback_2: text = '0'
28.9529 	EXP 	text_feedback_1: autoDraw = True
28.9529 	EXP 	text_feedback_2: autoDraw = True
33.9445 	EXP 	RatingScale rating_scale: reset()
33.9563 	EXP 	text_feedback_1: autoDraw = False
33.9563 	EXP 	text_feedback_2: autoDraw = False
33.9563 	EXP 	rating_scale: autoDraw = True
33.9563 	EXP 	text_rating: autoDraw = True
36.2769 	DATA 	Mouse: Left button down, pos=(673,257)
36.3447 	DATA 	Mouse:  Left button up, pos=(673,257)
36.9584 	DATA 	Mouse: Left button down, pos=(691,159)
36.9609 	DATA 	RatingScale rating_scale: (mouse response) rating=0.39
36.9609 	DATA 	RatingScale rating_scale: rating RT=3.016
36.9609 	DATA 	RatingScale rating_scale: history=[(5.0, 0.0), (0.39, 2.333), (0.39, 3.016)]
36.9761 	EXP 	New trial (rep=0, index=1): {u'stim_nr': 12, u'odor_channel': 3, u'corrAns_odor': 3, u'corrAns_pic': 4, u'congruent': -1, u'stim_name': None, u'pic_file': u'pencil.jpg', u'pic_name': u'pencil', u'odor_name': u'wood'}
37.0220 	EXP 	rating_scale: autoDraw = False
37.0220 	EXP 	text_rating: autoDraw = False
37.0220 	EXP 	text_variables_task: text = '*** Stim Nr. 12 of available 16 (randomly chosen) ***'
37.0220 	EXP 	text_task: text = u'Task instruction goes here.\n In the following task you have to ...\n- Press 1, 2, 3 or 4 to continue -'
37.0220 	EXP 	text_variables_task: autoDraw = True
37.0220 	EXP 	text_task: autoDraw = True
37.0228 	DATA 	Mouse:  Left button up, pos=(691,159)
40.4445 	DATA 	Keypress: 3
40.4595 	EXP 	text_variables_task: autoDraw = False
40.4595 	EXP 	text_task: autoDraw = False
40.4595 	EXP 	text_scanner: autoDraw = True
41.7627 	DATA 	Keypress: s
43.1953 	DATA 	Keypress: a
43.2121 	EXP 	text_scanner: autoDraw = False
43.2121 	EXP 	text: autoDraw = True
48.2299 	EXP 	text: autoDraw = False
48.2299 	EXP 	stim_image_1: image = u'pencil.jpg'
48.2299 	EXP 	stim_image_1: autoDraw = True
48.2299 	EXP 	text_7: autoDraw = True
51.2494 	DATA 	Mouse: Left button down, pos=(353,487)
51.3328 	DATA 	Mouse:  Left button up, pos=(353,487)
58.2158 	EXP 	stim_image_1: autoDraw = False
58.2158 	EXP 	text_7: autoDraw = False
58.2158 	EXP 	stim_image_1: autoDraw = False
58.2158 	EXP 	text_7: autoDraw = False
58.2158 	EXP 	stim_image_2: image = u'pencil.jpg'
58.2158 	EXP 	stim_image_2: autoDraw = True
58.2158 	EXP 	text_breath: autoDraw = True
62.0732 	DATA 	Mouse: Left button down, pos=(359,487)
62.1554 	DATA 	Mouse:  Left button up, pos=(359,487)
62.9558 	DATA 	Keypress: e
62.9884 	EXP 	stim_image_2: autoDraw = False
62.9884 	EXP 	text_breath: autoDraw = False
62.9884 	EXP 	stim_image_3: image = u'pencil.jpg'
62.9884 	EXP 	stim_image_3: autoDraw = True
62.9884 	EXP 	text_5: autoDraw = True
67.9730 	EXP 	stim_image_3: autoDraw = False
67.9730 	EXP 	text_5: autoDraw = False
67.9730 	EXP 	text_6: autoDraw = True
70.3099 	DATA 	Keypress: 3
70.3239 	EXP 	text_6: autoDraw = False
70.3239 	EXP 	text_feedback_2: text = '0'
70.3239 	EXP 	text_feedback_1: autoDraw = True
70.3239 	EXP 	text_feedback_2: autoDraw = True
75.3162 	EXP 	RatingScale rating_scale: reset()
75.3270 	EXP 	text_feedback_1: autoDraw = False
75.3270 	EXP 	text_feedback_2: autoDraw = False
75.3270 	EXP 	text_feedback_1: autoDraw = False
75.3270 	EXP 	text_feedback_2: autoDraw = False
75.3270 	EXP 	rating_scale: autoDraw = True
75.3270 	EXP 	text_rating: autoDraw = True
75.7299 	DATA 	Keypress: 1
75.9965 	DATA 	Keypress: 3
76.1956 	DATA 	Keypress: 1
76.5637 	DATA 	Keypress: 3
76.7970 	DATA 	Keypress: 2
77.0645 	DATA 	Keypress: 2
77.2639 	DATA 	Keypress: 3
77.8828 	DATA 	Keypress: 0
78.3158 	DATA 	Keypress: 1
78.6994 	DATA 	Keypress: 0
78.9795 	DATA 	Keypress: 1
79.2833 	DATA 	Keypress: 0
79.6304 	DATA 	Keypress: 1
80.0025 	DATA 	Keypress: 0
80.6501 	DATA 	Keypress: right
80.9481 	DATA 	Keypress: right
81.0826 	DATA 	Keypress: right
81.2651 	DATA 	Keypress: right
81.4179 	DATA 	Keypress: right
81.5992 	DATA 	Keypress: right
81.9493 	DATA 	Keypress: right
82.0993 	DATA 	Keypress: right
82.2683 	DATA 	Keypress: right
82.5655 	DATA 	Keypress: return
82.5683 	DATA 	RatingScale rating_scale: (key response) rating=0.09
82.5685 	DATA 	RatingScale rating_scale: rating RT=7.252
82.5685 	DATA 	RatingScale rating_scale: history=[(5.0, 0.0), (1.0, 0.415), (0.0, 2.567), (1.0, 3.0), (0.0, 3.383), (1.0, 3.666), (0.0, 3.967), (1.0, 4.316), (0.0, 4.7), (0.01, 5.334), (0.02, 5.633), (0.03, 5.766), (0.04, 5.951), (0.05, 6.116), (0.060000000000000005, 6.285), (0.07, 6.635), (0.08, 6.785), (0.09, 6.952), (0.09, 7.252)]
82.5819 	EXP 	New trial (rep=0, index=2): {u'stim_nr': 4, u'odor_channel': 1, u'corrAns_odor': 1, u'corrAns_pic': 4, u'congruent': 0, u'stim_name': None, u'pic_file': u'pencil.jpg', u'pic_name': u'pencil', u'odor_name': u'apple'}
82.6151 	EXP 	rating_scale: autoDraw = False
82.6151 	EXP 	text_rating: autoDraw = False
82.6151 	EXP 	text_variables_task: text = '*** Stim Nr. 4 of available 16 (randomly chosen) ***'
82.6151 	EXP 	text_task: text = u'Task instruction goes here.\n In the following task you have to ...\n- Press 1, 2, 3 or 4 to continue -'
82.6151 	EXP 	text_variables_task: autoDraw = True
82.6151 	EXP 	text_task: autoDraw = True
93.1973 	DATA 	Mouse: Left button down, pos=(389,467)
93.3214 	DATA 	Mouse:  Left button up, pos=(389,467)
93.5033 	DATA 	Mouse: Left button down, pos=(389,467)
93.6206 	DATA 	Mouse:  Left button up, pos=(389,467)
94.5731 	DATA 	Keypress: 3
94.5882 	EXP 	text_variables_task: autoDraw = False
94.5882 	EXP 	text_task: autoDraw = False
94.5882 	EXP 	text_scanner: autoDraw = True
95.1224 	DATA 	Keypress: 3
95.5236 	DATA 	Keypress: a
95.5536 	EXP 	text_scanner: autoDraw = False
95.5536 	EXP 	text: autoDraw = True
100.5689 	EXP 	text: autoDraw = False
100.5689 	EXP 	stim_image_1: image = u'pencil.jpg'
100.5689 	EXP 	stim_image_1: autoDraw = True
100.5689 	EXP 	text_7: autoDraw = True
106.0261 	DATA 	Mouse: wheel shift=(0,0), pos=(454,470)
106.0268 	DATA 	Mouse: wheel shift=(0,0), pos=(454,470)
106.2946 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.3107 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.3263 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.3287 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.3437 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.3764 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.4438 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.4771 	DATA 	Mouse: wheel shift=(0,0), pos=(463,466)
106.5607 	DATA 	Mouse: wheel shift=(0,0), pos=(465,466)
106.6268 	DATA 	Mouse: Left button down, pos=(465,465)
106.6451 	DATA 	Mouse: wheel shift=(0,0), pos=(465,466)
106.6937 	DATA 	Mouse: wheel shift=(0,0), pos=(465,466)
106.7106 	DATA 	Mouse:  Left button up, pos=(465,465)
